mIoU,fwIoU,IoU-other,IoU-Grass,IoU-CameraEdge,IoU-Vehicle,IoU-Person,IoU-Bush,IoU-Puddle,IoU-Building,IoU-Dirtroad,IoU-Sky,IoU-Large_stone,IoU-Forrest,IoU-Gravel,mACC,pACC,ACC-other,ACC-Grass,ACC-CameraEdge,ACC-Vehicle,ACC-Person,ACC-Bush,ACC-Puddle,ACC-Building,ACC-Dirtroad,ACC-Sky,ACC-Large_stone,ACC-Forrest,ACC-Gravel
65.33364244650215,90.71079307343248,nan,91.26343128182408,88.95804968180512,87.64006791171477,89.60406852735366,0.0,12.210187205369813,76.53049094583349,86.11956854914315,98.97733106360522,63.631011257124015,89.06950293425237,0.0,70.26248828093372,95.02650100686917,nan,95.02092726974286,95.76484991183568,97.28443517127002,94.5667541685249,0.0,13.25039079803378,79.37604599286271,98.17839604785425,99.55151254910629,74.9459104610093,95.21063700096487,0.0
77.66428149299952,93.22164686851725,nan,91.47800560753511,87.89234982139354,92.14000699038584,90.50386502222196,41.08280183979388,91.37481014946523,88.7194660695683,91.95897515202716,99.06085057828405,66.81904502321227,90.94120166210679,0.0,82.35124032511526,96.41439637523858,nan,97.59276537284661,89.58673493582255,94.44995647120047,95.69268707359589,58.96917404829022,96.17938675309074,93.7230153819458,96.25949270414098,99.71283297908415,69.511683956827,96.53715422453874,0.0
80.91099459999552,94.0781608394295,nan,95.21071352986655,90.46213329513849,92.26045274402549,91.20748753255988,50.53108244993191,89.0937029775022,90.61249925941856,90.96918454885916,99.12393283289771,88.73653625007681,92.72420977966928,0.0,85.15881932503744,96.9107465364005,nan,97.04879073845089,97.2703214071138,97.27624819035297,96.51000987396048,53.07466349642801,97.79359776585488,94.28308533931838,99.06581883944577,99.41595368101513,93.46487416091868,96.70246840759017,0.0
77.04705405976483,94.81214899915523,nan,92.16553473517237,91.1644058412543,93.87483877236618,91.65674091641182,63.433519038901984,91.63165139201676,92.33610929412745,96.88120765443865,99.15738127542143,18.858381546494343,93.40487825057268,0.0,86.32244794359454,97.20318829088238,nan,98.03374434380838,93.31720431744839,97.10732078212418,96.34133204136458,65.53728434050406,97.4309695973472,96.04594719862277,98.38114026692062,99.74839097907073,96.3111242610845,97.61491719483904,0.0
85.6813039430814,95.07881105873659,nan,91.28694637619375,91.74231784595635,94.085599196736,92.09342782237634,90.22109140667904,94.76646017109229,92.55007730928928,97.17173822501114,99.18582582226934,90.06384158789724,95.00832155347595,0.0,89.0879447838342,97.44849374435923,nan,98.47467944904045,96.4838397325153,96.99472952971064,96.682315787006,95.33540043104549,97.74908215287401,97.30604752260943,98.4988838217397,99.51377207913733,94.08929242869735,97.92729447163481,0.0
85.93299953297013,95.11881708657631,nan,91.64883915521253,92.21787096114011,94.80172684817116,92.43974749799614,91.28941018415108,94.07232345334134,93.43550748174614,96.98605020949857,99.19418885316252,90.21661155144962,94.89371819977218,0.0,89.10727371368364,97.47851852770908,nan,98.04869078878092,96.71095402650397,97.52720752618617,96.17148205970034,96.7650619764639,96.96411402215533,95.89160260376592,99.1133743481422,99.67437194594795,95.34829964679994,97.07212561975706,0.0
85.88684867997486,95.2212681128558,nan,93.51248413396989,92.65268476594964,94.67274733077431,92.60433860568473,90.24303762210941,93.628462635279,93.00010458336601,95.45837860197467,99.22141281578148,90.52511246047182,95.1234206043373,0.0,89.10977731223625,97.54666049461427,nan,98.05420717176435,94.99788779791078,96.62250560524485,96.76263590649823,96.29403902748554,98.79275759661235,97.45559738892783,99.11270720019795,99.7584409390348,93.96323760563641,97.50331150752196,0.0
85.94184011223138,95.407329708415,nan,92.76415455953712,93.01375457320871,94.86674179340044,92.53605675610802,91.98298634273382,91.83625990456386,92.41860991524723,96.83940246912812,99.26860146330287,90.24191745806134,95.5335961114849,0.0,89.5329953811562,97.63575928174511,nan,98.68846817683607,95.81879698888298,97.78602960606841,97.47653050573767,95.73029753808116,98.62290633744236,96.94963936791778,98.80027891725906,99.71663736558283,97.05604970689942,97.75031006316645,0.0
84.20650476937271,95.61377856257029,nan,94.68215020282248,93.03235693378315,95.40652248345577,92.75233295201993,92.55987546736316,64.5248090165552,94.15934760881294,97.10207328085376,99.28232060205052,91.28566063863495,95.69060804612072,0.0,89.45062038694434,97.67252296741623,nan,98.56755068808104,96.06614143676438,97.8019982718175,97.34764992484291,95.16473267521707,98.66153178815473,97.2256787394887,99.10312111145944,99.68276466257858,95.8969000992412,97.88937524568658,0.0
86.41256220899982,95.45392931385513,nan,92.4647050221335,93.59011456966361,95.34146411127932,92.96209181617957,91.81312104906617,93.98215694836924,93.05410191091188,96.9672821843205,99.31472676104593,91.62885330366815,95.8321288313598,0.0,89.45600805949012,97.65538353794703,nan,99.15266709734968,96.2470236657996,97.4072398850256,97.11009438032664,95.3903295565191,98.91596928094256,96.82954283404987,98.370307975903,99.70563929618818,96.465841916773,97.87744082500399,0.0
