time,heading
1632987948112603155,30.884355545043945
1632987948112717186,30.88405990600586
1632987948113005210,30.883451461791992
1632987948123469497,30.88376808166504
1632987948123781066,30.883161544799805
1632987948123786967,30.88224983215332
1632987948123803003,30.88288688659668
1632987948123899730,30.884140014648438
1632987948133674305,30.885696411132812
1632987948133987442,30.885393142700195
1632987948143896853,30.8835506439209
1632987948144185348,30.88233184814453
1632987948144420224,30.882654190063477
1632987948154326097,30.884206771850586
1632987948154586548,30.885143280029297
1632987948154676334,30.884227752685547
1632987948164769026,30.884550094604492
1632987948164991722,30.883943557739258
1632987948175121499,30.883337020874023
1632987948175261271,30.88303565979004
1632987948175545964,30.88243293762207
1632987948175749951,30.883689880371094
1632987948185656431,30.8852481842041
1632987948185812568,30.88556480407715
1632987948186068846,30.884029388427734
1632987948186305964,30.882495880126953
1632987948196289205,30.88189697265625
1632987948196471823,30.883764266967773
1632987948206583281,30.884700775146484
1632987948206808249,30.884401321411133
1632987948206982969,30.883485794067383
1632987948217017570,30.883190155029297
1632987948217265290,30.883508682250977
1632987948217542012,30.882591247558594
1632987948227416419,30.882295608520508
1632987948227708649,30.883241653442383
1632987948228011422,30.88479995727539
1632987948228231831,30.886049270629883
1632987948238132093,30.88482093811035
1632987948238305674,30.882980346679688
1632987948248409464,30.882064819335938
1632987948248485733,30.882699966430664
1632987948248822909,30.884563446044922
1632987948259054745,30.88519287109375
1632987948259271041,30.884279251098633
1632987948259632289,30.88397979736328
1632987948269227178,30.88368034362793
1632987948269517851,30.883377075195312
1632987948269727336,30.88277244567871
1632987948269972606,30.882482528686523
1632987948280372613,30.88466453552246
1632987948280376932,30.886219024658203
1632987948280380472,30.8862247467041
1632987948290227188,30.88407325744629
1632987948290383063,30.882232666015625
1632987948290638119,30.882558822631836
1632987948300675365,30.88411521911621
1632987948301032177,30.88504981994629
1632987948301138520,30.88475227355957
1632987948301361394,30.884151458740234
1632987948311274857,30.883852005004883
1632987948311517315,30.883556365966797
1632987948311663204,30.88232421875
1632987948321707661,30.882341384887695
1632987948321878394,30.882980346679688
1632987948322141049,30.88515853881836
1632987948332200018,30.885784149169922
1632987948332384830,30.884244918823242
1632987948332890980,30.882713317871094
1632987948332994204,30.88180160522461
1632987948343107498,30.882434844970703
1632987948343242434,30.884300231933594
1632987948353147954,30.88399887084961
1632987948353462208,30.88370132446289
1632987948353696643,30.883407592773438
1632987948363510202,30.88279914855957
1632987948363835760,30.88311767578125
1632987948364090196,30.881893157958984
1632987948364367420,30.88252830505371
1632987948374186381,30.884397506713867
1632987948374328470,30.88626480102539
1632987948384543673,30.885963439941406
1632987948384765849,30.88412094116211
1632987948385081302,30.882278442382812
1632987948394962361,30.88321876525879
1632987948395171850,30.883848190307617
1632987948395450265,30.88509750366211
1632987948405410632,30.884798049926758
1632987948405622107,30.884502410888672
1632987948405879033,30.88451385498047
1632987948415806246,30.8839054107666
1632987948416074419,30.88298988342285
1632987948416288839,30.883005142211914
1632987948416511794,30.883644104003906
1632987948426425420,30.885509490966797
1632987948426766338,30.885826110839844
1632987948426912107,30.884292602539062
1632987948436842639,30.8824520111084
1632987948437293700,30.882156372070312
1632987948437603961,30.883710861206055
1632987948447426897,30.88433837890625
1632987948447753828,30.884042739868164
1632987948447947462,30.883745193481445
1632987948457956623,30.883140563964844
1632987948458112070,30.882841110229492
1632987948458363340,30.88254165649414
1632987948468319070,30.881940841674805
1632987948468597684,30.88288688659668
1632987948468853683,30.88444709777832
1632987948478784815,30.885379791259766
1632987948479021682,30.885080337524414
1632987948479328372,30.883237838745117
1632987948489280560,30.88263511657715
1632987948489559759,30.883575439453125
1632987948489744918,30.884511947631836
1632987948499762414,30.88513946533203
1632987948499995139,30.88422393798828
1632987948500227627,30.88392448425293
1632987948500574198,30.884248733520508
1632987948500850906,30.883333206176758
1632987948510346374,30.88303565979004
1632987948510705301,30.88336181640625
1632987948510866813,30.884305953979492
1632987948520801551,30.88617515563965
1632987948521069111,30.885562896728516
1632987948521314570,30.8840274810791
1632987948531315018,30.882497787475586
1632987948531568430,30.8822021484375
1632987948531809899,30.88468360900879
