time,heading
1633007428441939304,355.9031982421875
1633007428442160291,355.90411376953125
1633007428442343175,355.90411376953125
1633007428452434311,355.9044189453125
1633007428452572543,355.9050598144531
1633007428452874756,355.90631103515625
1633007428462835218,355.9072570800781
1633007428463098171,355.9075622558594
1633007428463319521,355.90728759765625
1633007428473366217,355.9076232910156
1633007428473565787,355.907958984375
1633007428473784427,355.9079895019531
1633007428483826604,355.90802001953125
1633007428484058832,355.90679931640625
1633007428484268325,355.90557861328125
1633007428484519345,355.90496826171875
1633007428496574639,355.90435791015625
1633007428496579449,355.9049987792969
1633007428496582046,355.9049987792969
1633007428496592800,355.9046630859375
1633007428505264911,355.904052734375
1633007428505443483,355.9037170410156
1633007428520769095,355.9043273925781
1633007428520776621,355.9052734375
1633007428520785101,355.9052734375
1633007428520796923,355.90496826171875
1633007428526062830,355.9052734375
1633007428526209953,355.9053039550781
1633007428526471981,355.90625
1633007428536653730,355.90625
1633007428536726278,355.9059753417969
1633007428536938279,355.9053649902344
1633007428546914049,355.9047546386719
1633007428547184427,355.90478515625
1633007428547392245,355.90509033203125
1633007428557535277,355.9051208496094
1633007428557917290,355.9044494628906
1633007428558155766,355.9035339355469
1633007428568298728,355.9029235839844
1633007428568302289,355.9035339355469
1633007428568475486,355.9038391113281
1633007428578449061,355.9041442871094
1633007428578622674,355.9041442871094
1633007428578880276,355.9038391113281
1633007428589595704,355.9041442871094
1633007428589602733,355.90447998046875
1633007428589624866,355.9041748046875
1633007428599392115,355.90386962890625
1633007428599704293,355.9029541015625
1633007428599904883,355.9029846191406
1633007428610387357,355.9039306640625
1633007428613031763,355.9048767089844
1633007428613045786,355.905517578125
1633007428625199780,355.9058532714844
1633007428625235706,355.9058837890625
1633007428625239781,355.9058837890625
1633007428631815595,355.9062194824219
1633007428631842838,355.9065246582031
1633007428631868290,355.9071350097656
1633007428634037020,355.9065246582031
1633007428634108023,355.9068298339844
1633007428641660460,355.90777587890625
1633007428641888238,355.9099426269531
1633007428642069298,355.9127197265625
1633007428652182531,355.9142761230469
1633007428652405373,355.9145812988281
1633007428652696464,355.91455078125
1633007428662535278,355.9132995605469
1633007428663131918,355.91082763671875
1633007428663195730,355.90771484375
1633007428673120917,355.9049377441406
1633007428673285909,355.9034118652344
1633007428673539430,355.9024963378906
1633007428683575186,355.9034423828125
1633007428683732207,355.905029296875
1633007428683936009,355.9050598144531
1633007428694720224,355.9041442871094
1633007428694724237,355.9029541015625
1633007428694756648,355.90081787109375
1633007428709432077,355.8984069824219
1633007428709435590,355.8962707519531
1633007428709448552,355.89349365234375
1633007428716592422,355.89166259765625
1633007428716596182,355.8907775878906
1633007428716622430,355.8907775878906
1633007428725601466,355.892333984375
1633007428725821429,355.89263916015625
1633007428726001392,355.8929748535156
1633007428735982170,355.8926696777344
1633007428736243356,355.8917541503906
1633007428736518764,355.8914489746094
1633007428736778851,355.89117431640625
1633007428746600003,355.89117431640625
1633007428746910995,355.8908996582031
1633007428747165147,355.89154052734375
1633007428757165337,355.8924865722656
1633007428757525419,355.8946228027344
1633007428757800477,355.89617919921875
1633007428767593575,355.8974304199219
1633007428767945266,355.8971252441406
1633007428768075941,355.8968200683594
1633007428778076695,355.8962097167969
1633007428778327597,355.89556884765625
1633007428778513671,355.8946533203125
1633007428788528406,355.89404296875
1633007428788749850,355.8930969238281
1633007428789048509,355.8924865722656
1633007428798981785,355.89312744140625
1633007428799887019,355.89312744140625
1633007428800108276,355.89251708984375
1633007428809528808,355.8916320800781
1633007428810174683,355.8901062011719
1633007428810538324,355.8891906738281
1633007428826831685,355.8876647949219
1633007428826837320,355.8864440917969
1633007428826867071,355.8855285644531
1633007428832956704,355.88433837890625
1633007428832960473,355.88372802734375
