time,latitude,longitude
1633007183188255157,61.17869069722444,11.406850136926463
1633007183191660253,61.17869069561507,11.406850137521856
1633007183207012181,61.17869069026695,11.406850139434578
1633007183226730831,61.178690686579564,11.40685014093602
1633007183249015333,61.178690685073285,11.406850141712088
1633007183266772520,61.178690680539596,11.406850144063013
1633007183286995414,61.17869067704266,11.406850145785711
1633007183307025928,61.1786906744508,11.406850147274879
1633007183326736844,61.1786906718986,11.406850148639537
1633007183346744324,61.17869066887505,11.406850150153417
1633007183366977097,61.17869067901229,11.40685022057057
1633007183386984463,61.178690676052135,11.406850221926847
1633007183407072441,61.178690672976,11.406850223600335
1633007183435159074,61.17869067143928,11.406850224428316
1633007183446717279,61.17869066639691,11.406850226932526
1633007183466697193,61.17869066283115,11.406850228765574
1633007183486713891,61.17869065927123,11.40685023056211
1633007183507324004,61.17869065574723,11.406850232236932
1633007183529603997,61.1786906547045,11.406850232814566
1633007183546942349,61.17869065112226,11.406850234632271
1633007183566731643,61.17869064910589,11.406850235573858
1633007183587558412,61.178690667198566,11.406850269006144
1633007183606773427,61.17869066264252,11.406850271207398
1633007183626732590,61.17869065955392,11.406850272803993
1633007183649358879,61.178690658046115,11.406850273492358
1633007183666722625,61.17869065340997,11.406850275859412
1633007183686724007,61.1786906502523,11.406850277611168
1633007183709221312,61.17869064670736,11.406850279238393
1633007183727769807,61.178690643664865,11.406850280629943
1633007183746728946,61.178690641506975,11.406850281920333
1633007183766704222,61.178690638394556,11.406850283488163
1633007183788386822,61.178690597718735,11.40685029685687
1633007183806794680,61.178690594624925,11.406850298338945
1633007183826772205,61.17869059159879,11.406850299611856
1633007183846789931,61.17869058924975,11.40685030323677
1633007183866758712,61.17869058807881,11.406850301462365
1633007183886718362,61.17869058735466,11.406850285233656
1633007183906723930,61.17869059006476,11.406850261839963
1633007183928942692,61.17869059920141,11.406850237025331
1633007183946749713,61.178690608018954,11.406850204950231
1633007183967602864,61.17869059841689,11.40685021953076
1633007183986724863,61.17869060388783,11.406850161258037
1633007184006911312,61.178690611544354,11.40685010949416
1633007184026738892,61.17869063142273,11.406850058145203
1633007184046786317,61.178690641959896,11.406850037215353
1633007184066819333,61.17869065038076,11.406850009356019
1633007184086798237,61.17869065585233,11.406849979111689
1633007184106755251,61.17869066464044,11.4068499427917
1633007184126833092,61.17869067830836,11.406849901649911
1633007184146734578,61.17869068676572,11.406849872537896
1633007184166779169,61.178690696409326,11.40684983174243
1633007184186942016,61.178690724646955,11.40684984747606
1633007184208922552,61.178690736525525,11.406849790892146
1633007184226845424,61.17869075290061,11.40684973477837
1633007184246716350,61.17869077881727,11.406849674442395
1633007184266780829,61.17869080862979,11.406849617666493
1633007184286707070,61.17869083536074,11.406849567147873
1633007184307545850,61.17869086303646,11.406849513068948
1633007184327358428,61.17869089386032,11.406849456488214
1633007184346713107,61.17869093668178,11.406849385900784
1633007184366706172,61.17869092334097,11.40684940448064
1633007184387820786,61.17869093770478,11.40684937920702
1633007184406887094,61.178690987785565,11.406849279843758
1633007184426921759,61.17869102990533,11.406849184451
1633007184446737578,61.17869108014573,11.406849073464608
1633007184466731315,61.17869111901427,11.406849003929096
1633007184486700721,61.178691184052056,11.406848914710707
1633007184506777791,61.178691229795,11.40684884989367
1633007184526767734,61.17869126915837,11.406848771747406
1633007184546703056,61.17869130665243,11.406848660991873
1633007184566735662,61.17869135025315,11.406848667919622
1633007184589902276,61.17869138443479,11.406848564580828
1633007184606736426,61.178691405020295,11.406848515972722
1633007184626748090,61.17869145926169,11.406848417549188
1633007184646783147,61.178691507367056,11.406848342558686
1633007184666732408,61.17869155327545,11.406848262818484
1633007184686712962,61.17869159596484,11.40684817432418
1633007184706745606,61.17869164113954,11.406848063919387
1633007184728783279,61.17869167709601,11.406847964159502
1633007184746713176,61.1786917147536,11.406847857504731
1633007184766729488,61.178691706376526,11.406847813451648
1633007184786737399,61.1786917513799,11.406847703311737
1633007184806730727,61.17869178981665,11.406847614261299
1633007184826773131,61.1786918218678,11.406847544637909
1633007184846726697,61.17869187112137,11.40684743780659
1633007184867055287,61.178691925139226,11.406847295110024
1633007184886723584,61.178691959232644,11.406847181977893
1633007184906748603,61.17869200816932,11.406847044599555
1633007184926758007,61.17869210014935,11.406846891541374
1633007184946727238,61.178692204353965,11.406846761992437
1633007184966722719,61.17869228665902,11.406846653044568
1633007184986824091,61.178692359871995,11.406846481212174
1633007185010485341,61.178692439073515,11.406846275340863
1633007185027065734,61.178692496492964,11.406846144488929
1633007185046722904,61.17869257969126,11.4068459954457
1633007185066727167,61.1786926890378,11.40684585325025
1633007185086830134,61.17869281424079,11.406845737143112
1633007185111307126,61.17869294302415,11.406845624354055
1633007185128749080,61.178692999008554,11.40684555871185
1633007185146720298,61.17869308498493,11.406845444205736
1633007185166852326,61.17869325587871,11.406845408426653
1633007185186719450,61.17869334116138,11.406845324264808
1633007185213068622,61.17869340188577,11.406845262971117
1633007185227753433,61.17869354533874,11.406845117814877
1633007185247574823,61.17869359533815,11.406845068478825
1633007185266748884,61.178693702309396,11.40684497307239
1633007185286798316,61.17869386167538,11.406844867191177
1633007185306771037,61.178693985563704,11.40684480835319
1633007185326747341,61.178694122482675,11.406844754087874
1633007185346730011,61.17869424523219,11.406844711040897
1633007185366733381,61.178694368361995,11.40684466273042
1633007185386699242,61.178694457656974,11.40684460130477
1633007185406764220,61.17869450133987,11.406844537226187
1633007185433667211,61.178694519768584,11.406844494252729
1633007185446885214,61.17869454939582,11.406844384989512
1633007185467369548,61.17869456478419,11.406844343820215
