mIoU,fwIoU,IoU-other,IoU-Grass,IoU-CameraEdge,IoU-Vehicle,IoU-Person,IoU-Bush,IoU-Puddle,IoU-Building,IoU-Dirtroad,IoU-Sky,IoU-Large_stone,IoU-Forrest,IoU-Gravel,mACC,pACC,ACC-other,ACC-Grass,ACC-CameraEdge,ACC-Vehicle,ACC-Person,ACC-Bush,ACC-Puddle,ACC-Building,ACC-Dirtroad,ACC-Sky,ACC-Large_stone,ACC-Forrest,ACC-Gravel
42.32912799305839,70.65993075558595,nan,53.09852850580251,89.16178857238793,nan,0.0,0.0,0.0,nan,90.64577024144798,97.39940204886462,nan,8.32753457596412,nan,49.19014734552428,81.07749169501537,nan,95.21609580205272,95.23385982278202,nan,0.0,0.0,0.0,nan,95.93524892746682,98.5502736149043,nan,8.585700596988387,nan
66.13800302072032,85.5136860220932,nan,70.48290745677122,90.85695207343343,nan,77.46178457163171,30.34272477082385,0.0,nan,93.11070462094413,97.70649377098951,nan,69.14245690116864,nan,72.66128723704706,91.45995882517892,nan,76.90550056320834,94.99572018113915,nan,81.51645293070166,42.280612695329744,0.0,nan,95.55282849446274,98.37458809786868,nan,91.66459493366614,nan
70.25382180323895,88.00459328399624,nan,77.8334622055519,91.00821494905449,nan,84.8660880603811,30.801720644618307,12.705727452271232,nan,93.22371287067898,98.0284978574771,nan,73.56315038587846,nan,75.26693075365907,93.30398850631865,nan,91.72134087633958,95.01221780691561,nan,92.03615305191015,32.71442129425267,12.705727452271232,nan,98.42547141574379,98.65971655667258,nan,80.86039757516687,nan
71.52398714775015,88.84199875674011,nan,78.72082852244499,92.85066540230255,nan,82.57261410788381,51.302207799830626,0.0,nan,94.0133462404946,98.26509677193242,nan,74.46713833711217,nan,77.28882673626593,93.72683530480889,nan,92.02937493313867,96.45420593818889,nan,86.05952683795472,67.5184294164386,0.0,nan,95.48967375037414,99.06629225342382,nan,81.69311076060865,nan
75.0763550688649,92.3522480207931,nan,85.29152584066016,94.078942760078,nan,85.37944202217092,56.609546813077515,0.0,nan,95.07560087930077,98.22561478159201,nan,85.95016745403977,nan,78.7921075083664,95.9029771391236,nan,90.1125787390426,96.3380052696764,nan,89.665853622039,61.557009799593885,0.0,nan,96.42158036516012,99.04900304697726,nan,97.19282922444195,nan
81.63187378271547,91.22068185743535,nan,83.84017636792994,94.11619845487765,nan,80.79290750289381,40.90787394547717,78.0138077535847,nan,96.092371300358,98.3675570310906,nan,80.92409790551191,nan,88.30147592116367,95.23564603342581,nan,94.17016443166301,95.94612688347894,nan,91.91195175602675,42.99737353226803,96.70836076366031,nan,97.92347600518806,99.15128871026899,nan,87.60306528675528,nan
73.56307056534597,91.84636216946687,nan,86.37675759141169,94.75356286839481,nan,38.847463703172615,0.0,88.63920099875156,nan,95.9295390820899,98.41193100682965,nan,85.54610927211759,nan,83.67199982881364,95.50084457300197,nan,96.27678386014813,96.12760076702006,nan,97.29450671135919,0.0,93.4825543120474,nan,98.49546044098574,99.43194764496094,nan,88.26714489398763,nan
87.37316451597657,95.02843592154665,nan,91.56035976118335,94.6599883332201,nan,83.87394683375247,72.50131628253352,70.5421293272371,nan,95.61521119391215,98.47196045792964,nan,91.76040393804429,nan,91.12679453578103,97.40932524277154,nan,95.64108211514622,96.60890106684647,nan,88.33704939620213,84.33830670080339,71.09940750493746,nan,99.18377731218199,99.28702030568223,nan,94.51881188444834,nan
89.77534686493263,96.38294889690522,nan,94.45348647458164,94.68241932141444,nan,84.20985448046974,77.94603922300212,76.85039370078741,nan,96.67700295173887,98.51451556263436,nan,94.8690632048324,nan,95.66378269211,98.13299476601607,nan,96.88640182240374,96.13262178356071,nan,88.8458257889775,92.21770989670698,96.37919684002634,nan,98.94717150553727,99.50376202562457,nan,96.39757187404302,nan
90.18049678347548,96.49133232879078,nan,94.39938853764697,95.10591243569225,nan,86.14139890963925,77.54942528735633,77.78361344537815,nan,96.7565328420909,98.65868500262502,nan,95.0490178073749,nan,94.9462618207017,98.19882133535067,nan,97.22832277186602,96.75474964255145,nan,88.90119263172072,83.76169771342809,97.49835418038182,nan,99.04150453955901,99.4557750403956,nan,96.92849804571094,nan
