mIoU,fwIoU,IoU-other,IoU-Grass,IoU-CameraEdge,IoU-Vehicle,IoU-Person,IoU-Bush,IoU-Puddle,IoU-Building,IoU-Dirtroad,IoU-Sky,IoU-Large_stone,IoU-Forrest,IoU-Gravel,mACC,pACC,ACC-other,ACC-Grass,ACC-CameraEdge,ACC-Vehicle,ACC-Person,ACC-Bush,ACC-Puddle,ACC-Building,ACC-Dirtroad,ACC-Sky,ACC-Large_stone,ACC-Forrest,ACC-Gravel
42.86513824729628,87.8807826504051,nan,85.41196091922389,79.3087879807181,0.0,80.73438358723342,0.0,0.0,0.0,82.90947322648525,98.80140472458609,0.0,87.21564852930865,0.0,46.58071263229961,93.42464042515563,nan,91.30993896222799,93.51618492071883,0.0,83.22520723316445,0.0,0.0,0.0,98.6080296551451,99.37117590126724,0.0,92.93801491507166,0.0
66.27091808501656,90.20642040337658,nan,89.01075255972803,88.19617872563693,87.42321398269132,88.04945269668232,0.0,26.66248961262819,78.3029041831261,86.4907854328578,98.95231246488673,65.55172658299652,86.61120077896473,0.0,72.21410026091813,94.5565662263341,nan,98.06009373871059,95.7044929939134,91.87308396275814,91.17544783071489,0.0,45.77845063332383,89.52054997819539,93.98713094176087,99.47633708223421,71.23145391447997,89.76216205492614,0.0
72.85308667591521,92.69731350427331,nan,91.07788440770955,85.99842612242877,84.87596504909814,89.67199743119401,28.894439236903157,72.3377350018497,66.10176980908955,92.36458213759208,98.84357774420218,74.2532050114251,89.81745815949046,0.0,78.76091213805392,96.17187535030453,nan,96.98272253015132,88.65372603905043,95.89597184327037,94.92844588104028,29.072686959597693,87.73044165049791,71.7263990903715,97.54177468787414,99.7775444349148,87.93387207130573,94.88736046857288,0.0
75.689241452596,92.92628085169733,nan,92.21713275966465,89.12149515173407,89.51142835266245,89.83535869335523,31.90830199585178,74.9529585602195,84.75392342025697,91.47035402802119,98.97373583950122,75.74075725333597,89.78545137654893,0.0,83.75039278876478,96.23397913647726,nan,98.23287549850994,96.42719530161564,97.60453801920454,93.72816523506333,42.72856898004135,99.27542245491891,91.39346227347762,96.26305190082267,99.59616824353023,96.86311494104086,92.89215061695238,0.0
79.23941197442088,93.61274718189044,nan,93.38373114460924,89.29297732877272,91.4726854898215,90.1821641626739,41.49658392779478,91.6689442593929,88.11107478060887,92.04156318381662,98.9941726359406,83.6464197645745,90.58262701504476,0.0,83.96379850200768,96.64555729187047,nan,97.39882214310366,92.9074820680351,96.5693307588926,96.02317729424458,55.10480750646386,97.23617820872063,91.67429637358698,98.3674503051595,99.75222186068227,88.6544495195123,93.87736598569056,0.0
80.1271484507863,93.79310899670968,nan,93.06960899876692,89.63848609817747,92.79282181065224,91.3022623540126,49.79087210410292,90.44375921593208,87.8790979276536,92.21192991169744,99.08498402768853,83.34276966670512,91.9691892940465,0.0,84.71215662621928,96.76776781894259,nan,97.48636423093394,96.93390627449462,98.07938291239282,95.40897118243608,54.54763016151443,94.72578667058468,90.20779440204028,98.57867084834855,99.47450839993525,95.72646411598276,95.37640031596794,0.0
